-193.48,-0.18187
-193.48,-0.20657
-193.48,-0.23462
-193.48,-0.26648
-193.48,-0.30267
-193.48,-0.34378
-193.48,-0.39046
-193.48,-0.44349
-193.48,-0.50371
-193.48,-0.57212
-193.48,-0.64981
-193.48,-0.73805
-193.48,-0.83828
-193.47,-0.95212
-193.47,-1.0814
-193.47,-1.2283
-193.47,-1.395
-193.47,-1.5845
-193.46,-1.7996
-193.46,-2.0439
-193.45,-2.3214
-193.44,-2.6365
-193.43,-2.9944
-193.42,-3.4008
-193.4,-3.8622
-193.37,-4.3862
-193.34,-4.981
-193.3,-5.6562
-193.25,-6.4225
-193.19,-7.292
-193.1,-8.2784
-192.99,-9.397
-192.85,-10.665
-192.67,-12.101
-192.44,-13.727
-192.13,-15.565
-191.75,-17.641
-191.25,-19.981
-190.62,-22.615
-189.8,-25.569
-188.76,-28.872
-187.44,-32.548
-185.77,-36.616
-183.65,-41.083
-180.99,-45.942
-177.69,-51.162
-173.6,-56.682
-168.63,-62.401
-162.64,-68.172
-155.55,-73.798
-147.34,-79.037
-138.03,-83.613
-127.74,-87.244
-116.71,-89.679
-105.23,-90.73
-93.651,-90.313
-82.352,-88.455
-71.663,-85.295
-61.849,-81.056
-53.079,-76.008
-45.432,-70.434
-38.903,-64.591
-33.428,-58.698
-28.905,-52.926
-25.213,-47.395
-22.227,-42.182
-19.827,-37.329
-17.906,-32.853
-16.368,-28.749
-15.132,-24.999
-14.131,-21.58
-13.305,-18.461
-12.607,-15.612
-11.993,-13.001
-11.429,-10.601
-10.878,-8.3844
-10.311,-6.3305
-9.6956,-4.4237
-9.0024,-2.6563
-8.2016,-1.0302
-7.2659,0.44004
-6.1735,1.7246
-4.9141,2.7764
-3.4981,3.5302
-1.9692,3.9078
-0.4203,3.8299
0.99411,3.2435
2.0576,2.1651
2.5238,0.73925
2.2031,-0.71262
1.1148,-1.7068
-0.34506,-1.7614
-1.3867,-0.75787
-1.2234,0.66268
0.07076,1.223
1.0509,0.24258
0.31368,-0.89629
-0.81051,-0.20512
0.048871,0.73447
0.52103,-0.38541
